"case_id","county"
1716569,"Eaton "
1727885,"Wayne "
1459287,"Norfolk "
1733493,"Hidalgo "
1733495,"Leon "
1733503,"Arkansas "
1733957,"Cumberland "
1461903,"Summit "
1734489,"Hidalgo "
1734500,"Doña Ana "
1734510,"Cameron "
1464426,"Maricopa "
1735788,"Polk "
1735791,"Sarasota "
1737586,"Dallas "
1739047,"Pasco "
1471298,"Maricopa "
1739392,"Sampson "
1739396,"Beaver "
1739399,"Choctaw "
1739671,"Galveston "
1741580,"Hartford "
1742990,"San Diego "
1745271,NA
1501308,"Benton "
1719811,"Cook "
1728915,"Chittenden "
1729196,"Citrus "
1485300,"San Joaquin "
1730845,"St Lucie "
1730847,"Dallas "
1730853,"Maricopa "
1485596,"Vermilion "
1731819,"Brown "
1731821,"Roscommon "
1485664,"Los Angeles "
1732082,"Boulder "
1732094,"Scott "
1732096,"Erie "
1485806,"Gloucester "
1732646,"Chautauqua "
1732660,"Maricopa "
1732717,"Maui "
1486405,"Harris "
1732776,"Cuyahoga "
1732802,"Kanawha "
1487161,"Wichita "
1736166,"Harris "
1736172,"Harris "
1487734,"Passaic "
1738114,"Greene "
1737683,"Lancaster "
1738330,"Ford "
1740073,"Yakima "
1742995,"Shelby "
1742344,"Harris "
1489863,NA
1742528,"Indian River "
1742531,"Charles "
1742532,"St Lucie "
1742954,"San Joaquin "
1744063,"Fulton "
1744496,"Lauderdale "
1490928,"San Diego "
1744994,"Webb "
1744998,"Webb "
1745002,"Kennebec "
1745497,"White "
1746440,"Lyon "
1491528,"Kern "
1746089,"Augusta "
1746094,"Riverside "
1746095,"Rockingham "
1747095,"San Francisco "
1747567,"Portage "
1747646,"Tarrant "
1748079,"Kings "
1750853,NA
1751432,"Los Angeles "
1753045,"Hartford "
1377398,"Deschutes "
1519598,"Atlantic "
1562040,"Lexington "
1621903,"Hartford "
1424738,"Pontotoc "
1495715,"Williamson "
1398249,"Delta "
1398291,"Johnson "
1398530,"Johnson "
1449160,"Franklin "
1388111,"Whatcom "
1396969,"Cortland "
1498720,"Hillsborough "
1443404,"Chesterfield "
1443405,"Chesterfield "
1443406,"Chesterfield "
1433372,"Cuyahoga "
1421729,"York "
1498777,"Camden "
1421854,"Dallas "
1421858,"Lincoln "
1421859,"Sarpy "
1498977,"Cache "
1474247,"Jefferson "
1474296,"Goochland "
1474333,NA
1499243,"Hartford "
1498089,"Uvalde "
1498175,"Sarpy "
1498232,"Sumter "
1499719,"Williamson "
1500734,"Cross "
1518769,"Horry "
1519232,"Adams "
1519622,"Kennebec "
1568408,"Adair "
1500107,"Hennepin "
1573456,"Wood "
1573941,"Racine "
1500767,"Cook "
1626115,"Cass "
1628071,"Fairfield "
1422339,"Phelps "
1670337,"Franklin "
1501860,"Kendall "
1392271,"Brevard "
1688909,"Houston "
1688939,"Mercer "
1631502,"Cook "
1729658,"Woodford "
1422628,"Walker "
1375860,"Los Angeles "
1384962,"Brazoria "
1405119,"Cumberland "
1503883,"Lebanon "
1474042,NA
1474045,"Robeson "
1475020,"Pinellas "
1488907,"Dillon "
1499972,NA
1507776,"Los Angeles "
1455241,"Columbia "
1640959,"Davis "
1691704,"Waldo "
1389641,"Litchfield "
1653703,"McLennan "
1676878,"Union "
1677251,"Harris "
1425272,"Cooper "
1507276,"Desoto "
1570212,"Hidalgo "
1445335,"Marion "
1445461,"Adams "
1511222,"Lancaster "
1446305,"Onondaga "
1446307,"Durham "
1446310,"Gallatin "
1511400,"Douglas "
1446526,"St Clair "
1446527,"Pinellas "
1447126,"Audubon "
1447331,"Essex "
1448374,"Mobile "
1448429,"Hidalgo "
1449058,NA
1513701,"Orange "
1449875,"Suffolk "
1449886,"El Paso "
1449888,"Arapahoe "
1438420,"Denton "
1452008,"Carbon "
1452535,"Ocean "
1452545,"Ocean "
1453727,"Sussex "
1454278,"Sussex "
1454790,"Sumter "
1456236,"Lucas "
1573096,"Utah "
1002623,"Allegheny "
1004663,"Duval "
1004775,"Los Angeles "
1516521,"Wright "
1018142,"Miami-Dade "
1018339,"St Johns "
1019799,"New Castle "
1516852,NA
1083736,"Alachua "
1083968,"Sacramento "
1084712,"Luzerne "
1517146,"Palm Beach "
1112864,"Los Angeles "
1113561,"York "
1114027,"Dane "
1517526,"Columbia "
1148619,"Polk "
1150865,"Lancaster "
1517716,"Hidalgo "
1168121,"Westchester "
1168200,"Harris "
1168425,"Wilcox "
1520007,NA
1292474,"Accomack "
1292503,"Walton "
1292705,"Orange "
1520564,"Craighead "
1311502,"Stephens "
1311574,"Riverside "
1311953,"Bernalillo "
1320075,"Lake "
1438517,"Anderson "
1438587,"Riverside "
1512673,"Vermilion "
1443137,"Wake "
1443141,"Boulder "
1513244,"Travis "
1443610,"Bibb "
1443613,"Cook "
1443614,"Palm Beach "
1445124,"Dupage "
1446312,"Kenton "
1446910,"Bergen "
1520535,"Galveston "
1450728,"Miami-Dade "
1450729,"Miami-Dade "
1453053,"Montgomery "
1523084,"Stanislaus "
1453450,"Huron "
1453451,"Knox "
1453453,"Greenville "
1454461,"Eagle "
1454886,"Passaic "
1478426,"New York "
1455774,"Stark "
1525478,"Yavapai "
1456243,"Delaware "
1473964,"Merced "
1456247,"Essex "
1525549,"Onondaga "
1456288,"Henry "
1456294,"Contra Costa "
1456908,"New York "
1526404,"Saratoga "
1457012,"Surry "
1457013,"Adams "
