State,State Name,County,NAICS3,Employees,Avg Weekly Pay,Establishments,WHD Office Name,Industry
CA,California,Amador County,113,0,0,3,Sacramento,Forestry and Logging
CA,California,Butte County,113,21,630,4,Sacramento,Forestry and Logging
CA,California,Calaveras County,113,0,0,3,Sacramento,Forestry and Logging
CA,California,Del Norte County,113,28,637,3,San Francisco,Forestry and Logging
CA,California,El Dorado County,113,20,542,9,Sacramento,Forestry and Logging
CA,California,Fresno County,113,0,0,5,Sacramento,Forestry and Logging
CA,California,Glenn County,113,0,0,1,Sacramento,Forestry and Logging
CA,California,Humboldt County,113,285,1096,30,San Francisco,Forestry and Logging
CA,California,Imperial County,113,0,0,1,San Diego,Forestry and Logging
CA,California,Kern County,113,0,0,1,Sacramento,Forestry and Logging
CA,California,Lake County,113,0,0,1,Sacramento,Forestry and Logging
CA,California,Lassen County,113,32,1149,7,Sacramento,Forestry and Logging
CA,California,Los Angeles County,113,0,0,3,Los Angeles,Forestry and Logging
CA,California,Madera County,113,18,350,4,Sacramento,Forestry and Logging
CA,California,Marin County,113,0,0,1,San Francisco,Forestry and Logging
CA,California,Mendocino County,113,157,988,32,San Francisco,Forestry and Logging
CA,California,Merced County,113,0,0,1,Sacramento,Forestry and Logging
CA,California,Modoc County,113,0,0,2,Sacramento,Forestry and Logging
CA,California,Napa County,113,0,0,2,San Francisco,Forestry and Logging
CA,California,Nevada County,113,0,0,7,Sacramento,Forestry and Logging
CA,California,Placer County,113,0,0,4,Sacramento,Forestry and Logging
CA,California,Plumas County,113,0,0,5,Sacramento,Forestry and Logging
CA,California,Sacramento County,113,61,1227,3,Sacramento,Forestry and Logging
CA,California,San Bernardino County,113,0,0,3,West Covina,Forestry and Logging
CA,California,San Diego County,113,0,0,1,San Diego,Forestry and Logging
CA,California,San Joaquin County,113,0,0,1,Sacramento,Forestry and Logging
CA,California,San Luis Obispo County,113,0,0,1,Los Angeles,Forestry and Logging
CA,California,Santa Cruz County,113,0,0,3,San Francisco,Forestry and Logging
CA,California,Shasta County,113,276,1349,23,Sacramento,Forestry and Logging
CA,California,Sierra County,113,0,0,2,Sacramento,Forestry and Logging
CA,California,Siskiyou County,113,73,811,23,Sacramento,Forestry and Logging
CA,California,Sonoma County,113,0,0,4,San Francisco,Forestry and Logging
