,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,H_MALE,H_FEMALE
38,Autauga County,54660,26618,28042,21301,22006,4588,5156,118,135,203,292,30,18,378,435,696,612
190,Baldwin County,183193,89609,93584,78676,81815,8441,8949,667,673,553,824,76,53,1196,1270,4470,3617
342,Barbour County,27341,14513,12828,7428,6482,6786,6114,86,72,60,60,30,19,123,81,763,595
494,Bibb County,22861,12256,10605,9030,8488,3065,1978,35,34,11,8,28,4,87,93,299,113
646,Blount County,57373,28376,28997,27393,28003,430,393,180,176,47,84,37,24,289,317,2583,2086
798,Bullock County,10887,5893,4994,1763,1117,3981,3742,37,49,10,10,44,33,58,43,442,345
950,Butler County,20944,9849,11095,5491,5944,4146,4954,28,36,105,87,3,4,76,70,109,85
1102,Calhoun County,118437,57097,61340,44127,46415,11334,13146,322,266,370,520,60,50,884,943,2134,1776
1254,Chambers County,34098,16311,17787,9899,10316,6099,7169,33,36,100,96,10,5,170,165,334,205
1406,Cherokee County,25976,12880,13096,11971,12251,623,584,80,54,19,35,4,2,183,170,159,166
1558,Chilton County,43665,21617,22048,19011,19454,2161,2187,109,98,63,84,57,25,216,200,1992,1448
1710,Choctaw County,13841,6669,7172,3802,3949,2819,3175,11,8,6,9,0,0,31,31,42,35
1862,Clarke County,25767,12176,13591,6863,7218,5155,6187,43,59,35,45,4,0,76,82,148,136
2014,Clay County,13880,6797,7083,5653,5875,994,1050,24,33,12,15,0,0,114,110,243,160
2166,Cleburne County,14973,7448,7525,7094,7142,240,268,25,24,6,18,9,1,74,72,198,111
2318,Coffee County,50177,24791,25386,19386,19472,4066,4457,363,363,228,437,156,69,592,588,1874,1339
2470,Colbert County,54514,26191,28323,21479,22835,4050,4792,144,146,107,136,11,9,400,405,627,484
2622,Conecuh County,13208,6398,6810,3454,3368,2854,3336,24,21,3,14,1,0,62,71,102,64
2774,Coosa County,11758,5941,5817,3960,3860,1884,1848,36,27,4,13,7,10,50,59,140,88
2926,Covington County,37796,18304,19492,15622,16534,2235,2518,120,114,74,84,0,1,253,241,257,236
3078,Crenshaw County,13853,6687,7166,4964,5183,1469,1766,27,30,122,85,5,3,100,99,126,87
3230,Cullman County,80473,39722,40751,38435,39429,494,431,236,229,137,211,14,19,406,432,1941,1524
3382,Dale County,50358,24853,25505,19220,18981,4561,5211,219,181,165,374,25,27,663,731,1545,1293
3534,Dallas County,43803,20244,23559,6119,6693,13861,16593,48,36,85,75,7,4,124,158,182,127
3686,DeKalb County,71142,35116,36026,32565,33408,632,637,761,778,115,154,323,287,720,762,5085,4616
3838,Elmore County,79465,38793,40672,29731,31594,8139,7990,166,157,227,323,38,48,492,560,1072,1077
3990,Escambia County,38309,19770,18539,12169,11921,6616,5637,639,662,36,59,13,7,297,253,456,277
4142,Etowah County,104442,50622,53820,41655,43761,7435,8533,314,261,372,367,183,151,663,747,1915,1535
4294,Fayette County,17231,8490,8741,7395,7597,961,1018,31,31,15,25,0,0,88,70,108,99
4446,Franklin County,31734,15837,15897,14616,14810,664,629,261,206,33,47,23,13,240,192,2699,2045
4598,Geneva County,26795,13089,13706,11556,11962,1192,1378,122,117,29,44,11,5,179,200,521,415
4750,Greene County,9001,4239,4762,812,787,3396,3937,10,7,7,5,0,0,14,26,29,37
4902,Hale County,15735,7464,8271,3125,3196,4277,5001,11,13,10,26,1,0,40,35,82,61
5054,Henry County,17292,8297,8995,5876,6167,2277,2688,30,26,28,31,1,1,85,82,215,182
5206,Houston County,101783,48841,52942,35226,37147,12166,14241,245,243,383,471,27,32,794,808,1640,1390
5358,Jackson County,53179,26100,27079,24011,24891,881,950,393,418,101,129,38,25,676,666,724,600
5510,Jefferson County,658116,311461,346655,175457,185623,126841,151529,1236,1149,4551,4839,234,186,3142,3329,14537,10878
5662,Lamar County,14495,7063,7432,6209,6439,751,894,9,13,3,3,1,1,90,82,111,67
5814,Lauderdale County,92747,44396,48351,38926,42118,4271,5052,187,173,364,369,26,21,622,618,1120,979
5966,Lawrence County,34305,16769,17536,13196,13683,1859,2090,997,996,19,25,4,3,694,739,300,285
6118,Lee County,140782,69380,71402,51040,50969,14965,17340,291,227,2000,1805,98,55,986,1006,2652,2013
6270,Limestone County,83163,42077,41086,34813,34373,5653,5065,379,339,434,555,74,60,724,694,2522,2074
6422,Lowndes County,11275,5285,5990,1462,1432,3771,4500,14,12,10,16,0,0,28,30,41,45
6574,Macon County,21545,9862,11683,1708,1689,7988,9803,14,16,45,37,2,1,105,137,136,113
6726,Madison County,336138,164858,171280,117333,117836,38283,43324,1457,1434,3878,4602,241,220,3666,3864,8619,6945
6878,Marengo County,20942,9859,11083,4793,5043,4936,5895,18,21,22,34,22,15,68,75,168,184
7030,Marion County,30800,15289,15511,14339,14786,729,468,52,50,18,40,7,10,144,157,349,288
7182,Marshall County,93146,45876,47270,43217,44890,948,824,601,504,265,265,124,108,721,679,6230,5088
7334,Mobile County,413332,198404,214928,123558,128573,66151,77684,1936,1982,3920,3807,151,106,2688,2776,5550,4502
7486,Monroe County,22982,11073,11909,6245,6490,4515,5077,127,130,32,38,7,3,147,171,114,103
7638,Montgomery County,229723,109350,120373,46531,47970,58597,67919,422,356,2418,2538,162,118,1220,1472,4685,3590
7790,Morgan County,119603,58902,60701,49824,50968,6948,7574,695,619,353,405,90,69,992,1066,5147,4037
7942,Perry County,10540,4958,5582,1585,1606,3321,3934,13,7,19,11,3,2,17,22,63,57
8094,Pickens County,19716,9422,10294,5541,5660,3716,4496,14,18,15,21,50,24,86,75,194,127
8246,Pike County,32957,15713,17244,9511,9903,5448,6687,101,102,386,303,18,20,249,229,406,329
8398,Randolph County,22891,11095,11796,8735,9135,2154,2447,43,45,22,42,8,2,133,125,359,291
8550,Russell County,53297,25501,27796,14388,14885,10355,12033,134,123,99,157,68,61,457,537,1060,946
8702,St. Clair County,83812,41968,41844,37029,37636,3983,3250,167,144,241,308,33,23,515,483,911,790
8854,Shelby County,196048,95894,100154,82551,85315,9978,11294,352,339,1834,2050,65,49,1114,1107,6381,5213
9006,Sumter County,13740,6244,7496,1579,1800,4630,5636,3,11,10,23,1,2,21,24,58,40
9158,Talladega County,82071,39980,42091,26696,27588,12441,13671,159,123,173,181,3,3,508,525,1062,596
9310,Tallapoosa County,41502,20129,21373,14586,15000,5160,5980,71,66,96,114,9,6,207,207,623,428
9462,Tuscaloosa County,194977,94464,100513,65358,66520,26543,31481,339,302,1235,1204,81,63,908,943,3466,2580
9614,Walker County,67004,32656,34348,30083,31620,1887,2056,156,129,97,120,42,22,391,401,764,544
