,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,H_MALE,H_FEMALE,STCODE,FIPSCODE,CTYNAME,FIPSCLASS
0,55253,26999,28254,21454,22120,4783,5241,117,146,204,310,36,19,405,418,705,640,1,1,Autauga County,H1
1,186659,91187,95472,79972,83408,8588,9133,684,690,601,830,65,55,1277,1356,4553,3806,1,3,Baldwin County,H1
2,27226,14594,12632,7461,6381,6824,6014,83,68,67,65,30,21,129,83,756,542,1,5,Barbour County,H1
3,22733,12262,10471,9004,8406,3082,1915,41,39,16,14,27,4,92,93,327,143,1,7,Bibb County,H1
4,57711,28519,29192,27496,28142,478,427,180,174,46,85,35,24,284,340,2672,2145,1,9,Blount County,H1
5,10629,5746,4883,1800,1130,3796,3616,38,46,10,10,43,32,59,49,476,365,1,11,Bullock County,H1
6,20673,9719,10954,5428,5870,4071,4878,28,39,111,93,3,4,78,70,129,104,1,13,Butler County,H1
7,117768,56665,61103,43792,46190,11214,13081,314,264,377,556,61,53,907,959,2174,1843,1,15,Calhoun County,H1
8,33993,16226,17767,9840,10360,6059,7081,34,33,108,104,13,5,172,184,341,219,1,17,Chambers County,H1
9,26080,12935,13145,12023,12292,632,573,80,58,19,35,4,3,177,184,174,189,1,19,Cherokee County,H1
10,43739,21518,22221,18908,19536,2151,2242,111,100,65,90,56,25,227,228,1898,1436,1,21,Chilton County,H1
11,13593,6487,7106,3731,3891,2704,3161,12,11,10,10,0,0,30,33,45,36,1,23,Choctaw County,H1
12,25570,12055,13515,6763,7136,5121,6178,45,59,39,45,4,0,83,97,158,144,1,25,Clarke County,H1
13,13670,6682,6988,5541,5782,972,1035,36,40,14,15,0,0,119,116,231,160,1,27,Clay County,H1
14,14971,7444,7527,7065,7126,259,273,25,27,6,21,8,1,81,79,203,120,1,29,Cleburne County,H1
15,50448,24962,25486,19443,19463,4144,4526,371,370,247,454,150,68,607,605,1827,1364,1,31,Coffee County,H1
16,54443,26188,28255,21435,22800,4054,4750,153,144,118,138,11,10,417,413,685,523,1,33,Colbert County,H1
17,13121,6342,6779,3424,3348,2814,3316,28,22,5,12,2,1,69,80,125,72,1,35,Conecuh County,H1
18,11348,5726,5622,3816,3710,1811,1798,39,29,5,14,7,10,48,61,141,92,1,37,Coosa County,H1
19,38060,18409,19651,15696,16637,2244,2534,123,117,78,93,0,1,268,269,280,253,1,39,Covington County,H1
20,13896,6734,7162,4910,5130,1549,1792,28,38,124,99,7,4,116,99,129,95,1,41,Crenshaw County,H1
21,80469,39759,40710,38389,39357,538,431,228,216,153,226,14,18,437,462,1863,1566,1,43,Cullman County,H1
