CTYNAME,SUMLEV,STATE,COUNTY,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
Abbeville County,50,45,1,1,0,25417,12321,13096,8775,9022,3351,3853,28,34,27,50,1,4,139,133,8901,9141,3434,3935,82,79,47,72,7,7,12183,12979,8659,8928,3335,3831,26,33,27,50,1,4,135,133,8782,9047,3414,3913,77,78,44,72,6,7,138,117,116,94,16,22,2,1,0,0,0,0,4,0,119,94,20,22,5,1,3,0,1,0
Acadia Parish,50,22,1,1,0,61773,30161,31612,24286,25244,5374,5868,100,79,64,79,3,3,334,339,24603,25564,5608,6098,195,194,95,116,10,6,29490,31223,23705,24925,5330,5833,90,73,64,78,3,2,298,312,23988,25222,5538,6047,174,168,92,112,9,5,671,389,581,319,44,35,10,6,0,1,0,1,36,27,615,342,70,51,21,26,3,4,1,1
Accomack County,50,51,1,1,0,33164,16154,17010,11381,11505,4309,5060,102,94,86,102,30,23,246,226,11600,11708,4430,5173,220,205,117,130,46,38,14575,15739,9938,10356,4254,5015,52,45,80,97,23,14,228,212,10139,10545,4367,5122,166,152,110,125,33,22,1579,1271,1443,1149,55,45,50,49,6,5,7,9,18,14,1461,1163,63,51,54,53,7,5,13,16
Ada County,50,16,1,1,0,392365,196501,195864,182404,182022,2755,1879,1644,1508,4447,5216,490,425,4761,4814,186926,186616,3801,2978,3375,3254,6584,7286,880,853,182180,182280,169810,170163,2537,1680,1089,980,4272,5044,443,385,4029,4028,173665,174021,3418,2616,2374,2261,6206,6904,775,746,14321,13584,12594,11859,218,199,555,528,175,172,47,40,732,786,13261,12595,383,362,1001,993,378,382,105,107
Adair County,200,109,4,4,0,74628,36567,38061,29086,30625,549,449,5091,5180,321,337,9,15,1511,1455,30579,32063,712,604,6380,6408,411,432,28,37,35404,37084,28398,30017,533,427,4730,4918,319,334,7,11,1417,1377,29798,31378,683,565,5943,6089,404,426,21,26,1163,977,688,608,16,22,361,262,2,3,2,4,94,78,781,685,29,39,437,319,7,6,7,11
Adams County,600,364,16,12,0,786662,393428,393234,350906,350783,19336,18583,5832,5566,9141,9942,484,475,7729,7885,358083,358091,22175,21523,9296,9146,11335,12116,894,886,293268,300243,260193,266792,17412,16922,1700,1721,8439,9209,266,277,5258,5322,265070,271747,19546,19080,3575,3674,10149,10894,547,537,100160,92991,90713,83991,1924,1661,4132,3845,702,733,218,198,2471,2563,93013,86344,2629,2443,5721,5472,1186,1222,347,349
Addison County,50,50,1,1,0,36821,18364,18457,17617,17669,179,118,49,43,242,296,2,4,275,327,17885,17989,252,211,192,197,320,405,11,9,17958,18178,17265,17431,168,107,35,40,234,294,2,3,254,303,17513,17728,229,185,166,186,307,395,10,8,406,279,352,238,11,11,14,3,8,2,0,1,21,24,372,261,23,26,26,11,13,10,1,1
Aiken County,50,45,3,1,0,160099,77550,82549,56586,58713,18588,21172,426,434,624,784,43,43,1283,1403,57763,59989,19273,21907,945,1001,854,1065,83,97,73216,79059,52925,55804,18271,20879,293,310,588,750,27,28,1112,1288,53941,56969,18904,21583,711,806,791,1004,53,76,4334,3490,3661,2909,317,293,133,124,36,34,16,15,171,115,3822,3020,369,324,234,195,63,61,30,21
Aitkin County,50,27,1,1,0,16202,8205,7997,7871,7646,34,26,201,191,8,19,0,4,91,111,7956,7755,62,50,260,258,17,38,3,9,8123,7928,7809,7594,30,23,193,183,8,19,0,4,83,105,7887,7697,56,46,246,247,15,35,2,9,82,69,62,52,4,3,8,8,0,0,0,0,8,6,69,58,6,4,14,11,2,3,1,0
Alachua County,50,12,1,1,0,247336,119786,127550,86242,90127,23663,27135,426,414,6680,6865,82,73,2693,2936,88688,92730,25054,28621,1064,1196,7690,7980,164,206,109756,116828,77369,80686,23106,26507,302,306,6572,6733,73,60,2334,2536,79484,82922,24272,27737,836,959,7482,7738,149,177,10030,10722,8873,9441,557,628,124,108,108,132,9,13,359,400,9204,9808,782,884,228,237,208,242,15,29
