CTYNAME,SUMLEV,STATE,COUNTY,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
Abbeville County,50,45,1,7,0,24926,12103,12823,8583,8834,3304,3729,32,36,38,58,2,4,144,162,8718,8979,3398,3834,73,84,58,80,5,10,11940,12679,8454,8722,3280,3701,28,35,38,56,1,4,139,161,8584,8866,3370,3806,67,83,58,77,4,10,163,144,129,112,24,28,4,1,0,2,1,0,5,1,134,113,28,28,6,1,0,3,1,0
Acadia Parish,50,22,1,7,0,62498,30313,32185,24230,25495,5440,6035,125,89,82,147,7,6,429,413,24638,25878,5758,6342,211,191,127,184,19,16,29527,31595,23579,25016,5375,5972,100,78,79,144,7,4,387,381,23950,25371,5667,6257,172,166,117,179,17,14,786,590,651,479,65,63,25,11,3,3,0,2,42,32,688,507,91,85,39,25,10,5,2,2
Accomack County,50,51,1,7,0,32998,16047,16951,11150,11508,4370,4947,111,101,102,133,31,23,283,239,11419,11722,4517,5075,219,203,143,172,43,31,14519,15599,9811,10340,4288,4859,54,47,97,126,23,14,246,213,10046,10530,4417,4977,143,137,136,158,33,22,1528,1352,1339,1168,82,88,57,54,5,7,8,9,37,26,1373,1192,100,98,76,66,7,14,10,9
Ada County,50,16,1,7,0,426847,213822,213025,197069,197149,3320,2067,1854,1657,5307,6028,507,436,5765,5688,202489,202511,4765,3471,3725,3481,8052,8733,1078,1020,196718,196881,181920,182812,3056,1884,1165,1082,5141,5876,459,394,4977,4833,186661,187422,4285,3051,2539,2395,7659,8351,935,878,17104,16144,15149,14337,264,183,689,575,166,152,48,42,788,855,15828,15089,480,420,1186,1086,393,382,143,142
Adair County,200,109,4,28,0,74067,36385,37682,28835,30235,607,571,4993,4977,413,386,14,23,1523,1490,30332,31683,845,828,6204,6147,522,498,33,47,35051,36494,28044,29462,581,542,4593,4679,405,378,12,20,1416,1413,29438,30834,785,779,5731,5797,505,484,30,41,1334,1188,791,773,26,29,400,298,8,8,2,3,107,77,894,849,60,49,473,350,17,14,3,6
Adams County,600,364,16,84,0,825674,413979,411695,366166,363876,20793,19891,6571,6174,10688,11788,629,603,9132,9363,374562,372484,24473,23684,10316,10160,13308,14419,1158,1133,302687,308398,265739,271065,18466,17866,1983,1870,9905,10915,382,393,6212,6289,271500,276872,21301,20778,3695,3693,12024,13039,726,738,111292,103297,100427,92811,2327,2025,4588,4304,783,873,247,210,2920,3074,103062,95612,3172,2906,6621,6467,1284,1380,432,395
Addison County,50,50,1,7,0,37035,18542,18493,17634,17568,223,157,45,43,300,358,1,4,339,363,17962,17917,332,279,163,187,435,499,18,18,18107,18132,17276,17257,206,141,33,38,285,355,1,3,306,338,17576,17582,298,246,131,172,411,491,17,16,435,361,358,311,17,16,12,5,15,3,0,1,33,25,386,335,34,33,32,15,24,8,1,2
Aiken County,50,45,3,7,0,164537,79768,84769,57792,59794,19324,22048,429,451,666,836,46,53,1511,1587,59161,61198,20132,22926,1028,1082,962,1151,105,122,74987,80755,53809,56496,18941,21686,286,317,628,795,33,32,1290,1429,54980,57762,19637,22476,766,877,890,1083,81,92,4781,4014,3983,3298,383,362,143,134,38,41,13,21,221,158,4181,3436,495,450,262,205,72,68,24,30
Aitkin County,50,27,1,7,0,15708,7946,7762,7578,7333,36,32,209,228,18,24,1,3,104,142,7676,7471,76,88,259,290,37,51,3,6,7851,7679,7515,7281,29,26,194,213,18,24,1,3,94,132,7603,7409,62,77,242,270,37,51,2,6,95,83,63,52,7,6,15,15,0,0,0,0,10,10,73,62,14,11,17,20,0,0,1,0
Alachua County,50,12,1,7,0,256518,124036,132482,88276,92414,24271,28476,454,415,7570,7670,103,79,3362,3428,91327,95500,26021,30293,1104,1109,8919,9037,253,250,112878,120609,78510,81968,23574,27769,305,301,7458,7504,76,63,2955,3004,81181,84664,25048,29302,853,879,8730,8791,201,198,11158,11873,9766,10446,697,707,149,114,112,166,27,16,407,424,10146,10836,973,991,251,230,189,246,52,52
Alamance County,50,37,1,7,0,156357,74650,81707,56833,61189,13995,16428,1077,1116,1190,1378,55,59,1500,1537,58173,62532,14931,17431,1586,1629,1495,1698,119,126,64927,72450,48892,53695,13463,15878,272,317,1106,1300,32,28,1162,1232,49930,54779,14213,16715,602,676,1342,1556,80,76,9723,9257,7941,7494,532,550,805,799,84,78,23,31,338,305,8243,7753,718,716,984,953,153,142,39,50
Alameda County,50,6,1,7,0,1612850,790340,822510,417208,415878,91913,103029,9281,8757,223241,243931,7618,8123,41079,42792,451828,451477,104876,117346,19077,19667,247918,268940,12828,13817,605708,642413,263004,266307,84886,95596,2026,2293,218121,238665,6446,6900,31225,32652,288907,292979,94735,106534,6379,7690,239247,259968,10575,11430,184632,180097,154204,149571,7027,7433,7255,6464,5120,5266,1172,1223,9854,10140,162921,158498,10141,10812,12698,11977,8671,8972,2253,2387
Alamosa County,50,8,3,7,0,16318,8215,8103,7161,7156,197,125,452,431,119,135,16,27,270,229,7412,7372,287,190,585,552,180,182,29,46,4454,4413,4005,4029,141,57,102,101,59,87,7,5,140,134,4126,4154,199,103,156,157,104,121,15,20,3761,3690,3156,3127,56,68,350,330,60,48,9,22,130,95,3286,3218,88,87,429,395,76,61,14,26
Albany County,100,92,2,14,0,346647,169195,177452,133969,139698,20943,22343,690,660,9195,10215,119,109,4279,4427,137805,143572,23229,24866,1592,1690,10802,11762,325,322,158670,166767,126520,132314,19034,20233,390,376,9080,10121,78,72,3568,3651,129697,135474,20818,22203,1071,1183,10622,11595,239,249,10525,10685,7449,7384,1909,2110,300,284,115,94,41,37,711,776,8108,8098,2411,2663,521,507,180,167,86,73
Albemarle County,50,51,3,7,0,104351,49897,54454,41217,44698,4891,5407,213,210,2317,2749,39,39,1220,1351,42368,45939,5490,6085,473,527,2801,3292,93,100,46859,51551,38649,42216,4727,5296,87,87,2281,2717,21,22,1094,1213,39682,43338,5260,5897,287,346,2737,3231,64,70,3038,2903,2568,2482,164,111,126,123,36,32,18,17,126,138,2686,2601,230,188,186,181,64,61,29,30
Alcona County,50,26,1,7,0,10448,5244,5204,5140,5062,12,24,36,35,10,25,1,1,45,57,5184,5116,25,45,62,70,17,31,1,1,5176,5120,5073,4985,12,21,35,33,10,25,1,1,45,55,5117,5037,25,41,61,67,17,31,1,1,68,84,67,77,0,3,1,2,0,0,0,0,0,2,67,79,0,4,1,3,0,0,0,0
Alcorn County,50,28,3,7,0,37346,18280,19066,15736,16272,2238,2441,63,47,58,86,5,6,180,214,15905,16458,2349,2578,124,128,82,114,5,13,17613,18577,15137,15833,2208,2415,36,34,58,85,1,3,173,207,15299,16012,2313,2548,97,112,81,113,1,10,667,489,599,439,30,26,27,13,0,1,4,3,7,7,606,446,36,30,27,16,1,1,4,3
Aleutians East Borough,50,2,13,7,0,3317,2289,1028,584,192,316,23,355,323,953,436,11,11,70,43,645,227,326,32,389,348,985,449,15,17,1928,937,268,117,308,22,345,315,933,432,11,11,63,40,322,149,316,30,376,339,963,444,15,17,361,91,316,75,8,1,10,8,20,4,0,0,7,3,323,78,10,2,13,9,22,5,0,0
Aleutians West Census Area,50,2,16,7,0,5751,3886,1865,1561,605,400,42,413,335,1258,734,104,26,150,123,1681,706,433,68,483,397,1315,774,133,48,3283,1644,1081,448,380,33,384,315,1203,712,99,26,136,110,1190,537,407,56,448,370,1257,748,126,47,603,221,480,157,20,9,29,20,55,22,5,0,14,13,491,169,26,12,35,27,58,26,7,1
Alexander County,100,54,6,14,0,44462,22390,22072,19267,19219,2479,2192,109,88,202,216,10,15,323,342,19579,19533,2693,2414,198,193,236,262,14,21,21462,21281,18460,18519,2421,2162,69,53,198,212,10,13,304,322,18754,18814,2621,2372,153,151,231,256,14,19,928,791,807,700,58,30,40,35,4,4,0,2,19,20,825,719,72,42,45,42,5,6,0,2
Alexandria city,50,51,510,7,0,151440,73105,78335,48865,51682,16500,17776,535,556,4842,5712,112,110,2251,2499,50826,53834,17480,18907,1083,1222,5897,6864,252,244,60426,65853,38042,41014,15672,16995,133,174,4695,5587,57,64,1827,2019,39631,42760,16434,17877,502,634,5650,6614,163,167,12679,12482,10823,10668,828,781,402,382,147,125,55,46,424,480,11195,11074,1046,1030,581,588,247,250,89,77
Alfalfa County,50,40,3,7,0,5793,3486,2307,2966,2176,241,6,172,67,15,7,2,1,90,50,3045,2221,271,25,232,99,28,12,3,2,3289,2214,2799,2105,235,4,155,58,13,4,1,1,86,42,2874,2142,263,20,213,86,26,7,2,2,197,93,167,71,6,2,17,9,2,3,1,0,4,8,171,79,8,5,19,13,2,5,1,0
Alger County,50,26,3,7,0,9452,5211,4241,4226,3863,644,9,192,187,26,17,0,0,123,165,4346,4021,678,54,274,297,37,32,0,4,5146,4178,4181,3814,641,7,182,182,26,16,0,0,116,159,4294,3966,669,51,263,289,37,29,0,4,65,63,45,49,3,2,10,5,0,1,0,0,7,6,52,55,9,3,11,8,0,3,0,0
Allamakee County,50,19,5,7,0,14061,7191,6870,6939,6659,107,83,49,27,21,33,18,16,57,52,6994,6709,136,108,71,43,35,46,19,18,6766,6508,6567,6342,103,77,19,17,18,29,8,3,51,40,6617,6381,130,99,37,26,31,39,9,5,425,362,372,317,4,6,30,10,3,4,10,13,6,12,377,328,6,9,34,17,4,7,10,13
Allegan County,50,26,5,7,0,113743,56663,57080,54010,54281,854,810,432,420,390,529,14,24,963,1016,54934,55249,1285,1259,853,888,556,696,37,51,52565,53181,50306,50805,747,699,336,309,348,482,8,16,820,870,51095,51631,1115,1091,674,690,502,639,28,38,4098,3899,3704,3476,107,111,96,111,42,47,6,8,143,146,3839,3618,170,168,179,198,54,57,9,13
Allegany County,100,60,4,14,0,120789,62157,58632,55386,55220,5000,1595,138,143,664,653,24,34,945,987,56279,56141,5575,2237,364,356,865,841,58,75,60992,57840,54446,54617,4900,1526,107,113,655,646,15,28,869,910,55269,55467,5433,2120,298,302,848,824,44,65,1165,792,940,603,100,69,31,30,9,7,9,6,76,77,1010,674,142,117,66,54,17,17,14,10
Alleghany County,100,88,10,14,0,26762,13251,13511,12396,12757,483,472,56,35,79,63,8,9,229,175,12616,12916,626,577,130,96,106,85,10,15,12492,13010,11723,12324,454,446,28,25,73,54,8,7,206,154,11921,12465,584,541,91,75,99,74,9,11,759,501,673,433,29,26,28,10,6,9,0,2,23,21,695,451,42,36,39,21,7,11,1,4
Allegheny County,50,42,3,7,0,1232896,594313,638583,483179,514224,76277,88949,932,1031,21738,21449,158,252,12029,12678,494102,525607,84230,97548,3586,4051,24915,24653,461,563,582385,626880,473806,505351,75043,87519,692,806,21593,21297,134,157,11117,11750,483907,515905,82325,95413,3053,3539,24639,24383,400,420,11928,11703,9373,8873,1234,1430,240,225,145,152,24,95,912,928,10195,9702,1905,2135,533,512,276,270,61,143
