PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",00-0000,All Occupations,total,"1,011,840",2.4,1000.000,1.00,37.80,"78,620",2.7,10.89,15.41,28.32,52.99,77.77,"22,640","32,040","58,900","110,220","161,750",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",11-0000,Management Occupations,major,"86,310",4.6,85.299,1.70,78.89,"164,090",2.3,32.34,51.06,74.88,#,#,"67,270","106,210","155,740",#,#,,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",11-1011,Chief Executives,detailed,"2,170",11.2,2.148,1.24,116.28,"241,870",5.9,56.70,#,#,#,#,"117,930",#,#,#,#,,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",11-1021,General and Operations Managers,detailed,"18,220",3.7,18.009,1.16,76.18,"158,460",1.9,27.04,41.29,67.05,#,#,"56,240","85,870","139,470",#,#,,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",11-1031,Legislators,detailed,70,17.6,0.068,0.17,*,"53,900",6.2,*,*,*,*,*,"32,260","39,270","56,660","67,400","75,870",TRUE,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",11-2011,Advertising and Promotions Managers,detailed,130,15.6,0.130,0.61,48.93,"101,770",5.7,24.97,32.54,44.12,60.79,81.79,"51,930","67,670","91,760","126,450","170,130",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",11-2021,Marketing Managers,detailed,"7,240",14.0,7.160,5.12,94.90,"197,390",5.9,59.63,72.01,88.80,#,#,"124,020","149,780","184,710",#,#,,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",11-2022,Sales Managers,detailed,"5,960",6.4,5.893,2.23,77.10,"160,360",2.6,28.05,43.80,73.23,#,#,"58,350","91,100","152,320",#,#,,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",11-2031,Public Relations and Fundraising Managers,detailed,470,10.8,0.464,1.06,71.39,"148,490",4.3,34.84,48.96,68.11,88.46,#,"72,460","101,840","141,680","183,990",#,,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",11-3011,Administrative Services Managers,detailed,"3,000",9.2,2.960,1.51,58.99,"122,690",2.0,30.58,42.00,56.25,72.38,#,"63,600","87,350","117,000","150,560",#,,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",11-3021,Computer and Information Systems Managers,detailed,"13,830",15.4,13.663,5.52,91.44,"190,190",4.7,56.69,70.28,85.86,#,#,"117,910","146,190","178,590",#,#,,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",11-3031,Financial Managers,detailed,"6,950",5.0,6.871,1.78,82.91,"172,450",2.6,41.09,57.38,78.12,#,#,"85,470","119,340","162,480",#,#,,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",11-3051,Industrial Production Managers,detailed,"2,100",4.6,2.074,1.69,71.29,"148,290",2.9,33.99,47.82,66.21,85.82,#,"70,700","99,470","137,720","178,500",#,,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",11-3061,Purchasing Managers,detailed,960,10.3,0.947,1.80,69.64,"144,850",2.8,41.09,51.00,67.04,81.45,#,"85,480","106,080","139,450","169,420",#,,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",11-3071,"Transportation, Storage, and Distribution Managers",detailed,630,9.9,0.620,0.78,55.59,"115,630",3.8,30.46,37.91,49.28,68.01,89.85,"63,360","78,850","102,490","141,450","186,890",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",11-3111,Compensation and Benefits Managers,detailed,160,19.9,0.154,1.33,77.93,"162,090",4.1,43.69,56.88,78.15,#,#,"90,880","118,300","162,560",#,#,,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",11-3121,Human Resources Managers,detailed,"1,660",7.0,1.637,1.84,79.83,"166,050",4.2,42.12,57.91,75.90,#,#,"87,610","120,460","157,880",#,#,,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",11-3131,Training and Development Managers,detailed,460,10.3,0.450,1.98,86.81,"180,560",6.5,49.92,61.51,83.12,#,#,"103,840","127,950","172,890",#,#,,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",11-9021,Construction Managers,detailed,"1,740",11.9,1.716,0.99,65.71,"136,680",4.2,31.51,42.63,58.39,78.21,#,"65,540","88,660","121,450","162,680",#,,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,750,13.4,0.737,2.17,30.91,"64,290",10.0,17.25,22.16,27.74,37.90,47.52,"35,880","46,080","57,710","78,820","98,840",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",11-9032,"Education Administrators, Elementary and Secondary School",detailed,"1,130",10.0,1.113,0.65,*,"115,960",2.6,*,*,*,*,*,"82,060","96,790","117,800","139,830","155,060",TRUE,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",11-9033,"Education Administrators, Postsecondary",detailed,"1,270",4.9,1.258,1.28,59.94,"124,680",5.9,32.77,39.53,51.84,72.89,#,"68,150","82,210","107,830","151,610",#,,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",11-9039,"Education Administrators, All Other",detailed,170,19.2,0.165,0.71,43.59,"90,680",8.9,21.40,28.05,36.90,58.81,73.32,"44,510","58,340","76,760","122,330","152,500",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",11-9041,Architectural and Engineering Managers,detailed,"7,090",6.3,7.011,5.38,90.20,"187,610",2.2,59.15,71.06,85.94,#,#,"123,030","147,810","178,750",#,#,,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",11-9051,Food Service Managers,detailed,"1,820",15.5,1.797,1.23,26.94,"56,030",5.9,13.87,17.73,25.27,33.72,44.57,"28,840","36,880","52,550","70,130","92,700",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",11-9061,Funeral Service Managers,detailed,80,19.9,0.079,1.32,29.97,"62,340",9.0,21.87,25.35,29.76,35.11,38.05,"45,500","52,740","61,890","73,020","79,140",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",11-9081,Lodging Managers,detailed,180,33.7,0.181,0.71,30.98,"64,440",7.3,19.63,22.11,26.33,29.96,57.01,"40,830","45,980","54,760","62,310","118,580",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",11-9111,Medical and Health Services Managers,detailed,"1,940",9.6,1.918,0.84,76.46,"159,030",5.9,37.10,58.06,74.29,#,#,"77,180","120,770","154,530",#,#,,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",11-9121,Natural Sciences Managers,detailed,670,24.3,0.665,1.71,83.22,"173,100",4.3,46.63,63.11,77.87,#,#,"97,000","131,260","161,960",#,#,,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",11-9141,"Property, Real Estate, and Community Association Managers",detailed,"1,540",9.5,1.524,1.20,36.16,"75,210",3.9,20.66,24.65,31.11,40.74,59.00,"42,970","51,270","64,710","84,740","122,720",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",11-9151,Social and Community Service Managers,detailed,540,12.0,0.537,0.62,41.92,"87,200",6.6,22.31,28.48,35.91,49.06,67.53,"46,410","59,240","74,690","102,050","140,470",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",11-9199,"Managers, All Other",detailed,"3,330",5.8,3.287,1.20,78.18,"162,610",3.4,44.81,56.14,71.50,#,#,"93,210","116,770","148,710",#,#,,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",13-0000,Business and Financial Operations Occupations,major,"71,600",4.1,70.760,1.39,48.77,"101,450",1.1,24.78,32.67,44.07,61.08,78.81,"51,530","67,950","91,670","127,050","163,920",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,50,39.6,0.051,0.53,32.52,"67,650",27.0,12.24,14.90,20.63,39.22,57.51,"25,450","30,990","42,910","81,570","119,620",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",13-1022,"Wholesale and Retail Buyers, Except Farm Products",detailed,"1,040",23.3,1.026,1.27,30.39,"63,200",8.4,13.55,17.41,28.05,38.12,46.99,"28,190","36,210","58,340","79,290","97,750",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"4,040",8.4,3.992,1.89,38.81,"80,730",1.2,24.49,30.52,36.99,45.96,57.00,"50,930","63,480","76,930","95,590","118,560",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,460,21.3,0.454,0.23,40.00,"83,210",6.9,22.53,28.50,36.66,43.81,78.91,"46,860","59,270","76,260","91,130","164,130",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",13-1041,Compliance Officers,detailed,"1,370",7.0,1.353,0.73,45.62,"94,890",3.3,25.63,32.26,42.30,54.45,69.99,"53,320","67,090","87,990","113,260","145,570",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",13-1051,Cost Estimators,detailed,"1,560",9.3,1.546,0.99,42.02,"87,400",3.9,22.65,28.74,38.63,50.20,62.28,"47,120","59,780","80,340","104,410","129,540",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",13-1071,Human Resources Specialists,detailed,"4,690",5.3,4.634,1.30,43.81,"91,120",2.3,24.19,31.51,39.09,54.40,71.67,"50,300","65,540","81,320","113,150","149,060",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",13-1075,Labor Relations Specialists,detailed,380,13.1,0.375,0.65,40.23,"83,680",7.4,30.63,33.04,36.85,47.10,57.78,"63,710","68,730","76,640","97,970","120,190",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",13-1081,Logisticians,detailed,"1,830",13.7,1.804,1.86,51.32,"106,740",2.3,29.26,38.94,50.39,63.18,75.66,"60,860","80,990","104,810","131,410","157,370",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",13-1111,Management Analysts,detailed,"7,250",9.2,7.167,1.61,57.67,"119,950",2.8,31.64,40.03,53.06,70.44,#,"65,810","83,270","110,360","146,520",#,,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",13-1121,"Meeting, Convention, and Event Planners",detailed,530,18.0,0.522,0.82,31.45,"65,410",6.5,13.62,18.25,29.06,43.29,53.05,"28,340","37,960","60,440","90,040","110,330",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",13-1131,Fundraisers,detailed,210,17.1,0.212,0.47,33.30,"69,260",3.1,19.40,26.00,32.46,41.28,48.94,"40,340","54,080","67,510","85,860","101,800",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,680,23.3,0.669,1.16,48.14,"100,130",1.8,29.36,35.20,45.42,62.12,72.26,"61,060","73,210","94,480","129,210","150,300",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",13-1151,Training and Development Specialists,detailed,"2,340",18.5,2.316,1.26,47.49,"98,780",2.2,26.91,34.01,44.97,60.85,74.10,"55,980","70,740","93,540","126,570","154,120",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",13-1161,Market Research Analysts and Marketing Specialists,detailed,"10,050",9.1,9.932,2.70,54.97,"114,330",1.9,27.49,36.96,54.20,71.42,86.65,"57,170","76,870","112,740","148,560","180,220",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",13-1199,"Business Operations Specialists, All Other",detailed,"10,880",6.2,10.752,1.60,47.99,"99,830",2.0,23.57,31.62,44.56,63.08,78.39,"49,030","65,760","92,680","131,200","163,050",,
