Case,Date,County,Company,Occupation,Agency,Violation,Trade,Outcome,Outcometype,Quantity
1550FA,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO",A Plus Tree Incorporated,Tree Removal , City of Benicia ," Apprenticeship, Fringe Benefits, Misclassification, Travel Pay "," Laborers, Operators",Collection,Awarding Agency ,889.11
498AL,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","A-1 Septic Tank Service, Inc. dba A-1 Ready Mix, Inc.",Site Work/Concrete Construction , Town of Danville ," Apprenticeship, Misclassification, Overtime "," Cement Masons, Laborers, Operators",Collection,Awarding Agency ,"28,850.00"
1542FA,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","Acme Glass Co., Inc.",Building Construction , City of Vacaville ," Failure to Pay Prevailing Wages, Overtime, Travel Pay ", Laborers,Assessment,DLSE ,"10,319.76"
527BA,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","Aquatic Environments, Inc.",Site Work/Concrete Construction , City of San Ramon ," Failure to Pay Prevailing Wages, Misclassification "," Iron Workers, Laborers, Operators",Assessment,DLSE ,"36,765.84"
527BA,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","Aquatic Environments, Inc.",Site Work/Concrete Construction , City of San Ramon ," Failure to Pay Prevailing Wages, Misclassification "," Iron Workers, Laborers, Operators",Complaint,DLSE,
524AL,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","Arboricultural Specialties, Inc. (dba The Professional Tree Care Co.)",Tree Removal , California Department of Transportation ," Apprenticeship, Misclassification, Travel Pay "," Laborers, Operators",Complaint,Awarding Agency,
426BA,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","Arthulia, Inc.",Concrete Construction , City of Richmond ," IWC 16, Misclassification, Overtime ", Laborers,Collection,Lawsuit ,"38,000.00"
444BA,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","Ashron Construction & Restoration, Inc.",Reinforcing Steel , Bay Area Rapid Transit District ," Fringe Benefits, IWC 16, Misclassification, Overtime, Travel Pay ", Laborers,Collection,Lawsuit ,"7,500.00"
512AL,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","Barrera & Associates Construction, Inc.",Site Work , Hayward Area Recreation & Park District ," Apprenticeship, Misclassification, Overtime, Underreporting of Hours, Underreporting of Workers "," Cement Masons, Laborers, Operators",Lawsuit,Superior Court,
531AL,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","Barrera & Associates Construction, Inc.",Demolition , State of California Department of General Services ," IWC 16, Misclassification, Overtime "," Laborers, Operators",Assessment,Stop Notice ,"3,243.80"
531AL,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","Barrera & Associates Construction, Inc.",Demolition , State of California Department of General Services ," IWC 16, Misclassification, Overtime "," Laborers, Operators",Complaint,Awarding Agency,
531AL,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","Barrera & Associates Construction, Inc.",Demolition , State of California Department of General Services ," IWC 16, Misclassification, Overtime "," Laborers, Operators",Lawsuit,Superior Court,
523AL,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","Bay Circle Construction, Inc.",Concrete Construction , City of Fremont ," Apprenticeship, Expired Rates, Fringe Benefits, Misclassification, Travel Pay "," Cement Masons, Laborers, Operators",Complaint,Awarding Agency,
467BA,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","Bellingham Marine Industries, Inc.",Marine Construction , City of Pittsburg ," Apprenticeship, Misclassification, Subsistence, Travel Pay "," Carpenters, Laborers, Operators",Collection,Awarding Agency ,"13,524.77"
525BA,4/28/2015,"ALAMEDA, CONTRA COSTA, NAPA, AND SOLANO","Blessing & Harvey Professional Services, Inc. dba Ernie's Plumbing & Sewer Service",Underground , Martinez Unified School District ," Incorrect Rates, Overtime, Underreporting of Hours, Underreporting of Workers "," Laborers, Operators",Complaint,Awarding Agency,
