2012 CENSUS INDUSTRY CLASSIFICATION,,,
Major industry groups and detailed industries,,,
used in the Current Population Survey beginning with data for January 2014,,,
,,,
Includes crosswalk information to the 2012 North American Industry Classification (NAICS),,,
,,,
INDUSTRY TITLE,,,
,2012,2012,
,CENSUS ,NAICS,
,CODE(S),CODE(S),
,,,
,,,
"Agriculture, forestry, fishing, and hunting",0170–0290,11,
,,,
Crop production  ,0170,111,
Animal production and aquaculture,0180,112,
"Forestry, except logging ",0190,"1131, 1132",
Logging ,0270,1133,
"Fishing, hunting, and trapping ",0280,114,
Support activities for agriculture and forestry ,0290,115,
,,,
"Mining, quarrying, and oil and gas extraction",0370–0490,21,
,,,
Oil and gas extraction ,0370,211,
Coal mining ,0380,2121,
Metal ore mining ,0390,2122,
Nonmetallic mineral mining and quarrying ,0470,2123,
Not specified type of mining,0480,Part of 21,
Support activities for mining ,0490,213,
,,,
Construction,0770,23,
,,,
Manufacturing,1070–3990,31-33,
,,,
Durable goods manufacturing,2470–3990,,
,,,
Nonmetallic mineral products manufacturing,2470–2590,327,
"Pottery, ceramics, and plumbing fixture manufacturing  ",2470,32711,
Clay building material and refractories manufacturing ,2480,327120,
Glass and glass product manufacturing ,2490,3272,
"Cement, concrete, lime, and gypsum product manufacturing ",2570,"3273, 3274",
Miscellaneous nonmetallic mineral product manufacturing ,2590,3279,
Primary metals and fabricated metal products manufacturing,2670–2990,331–332,
Iron and steel mills and steel product manufacturing  ,2670,"3311, 3312",
Aluminum production and processing  ,2680,3313,
"Nonferrous metal, except aluminum, production and processing ",2690,3314,
Foundries ,2770,3315,
Metal forgings and stampings ,2780,3321,
Cutlery and hand tool manufacturing  ,2790,3322,
"Structural metals, and boiler, tank, and shipping container manufacturing ",2870,"3323, 3324",
"Machine shops; turned product; screw, nut, and bolt manufacturing  ",2880,3327,
"Coating, engraving, heat treating and allied activities ",2890,3328,
Ordnance ,2970,332992–332994,
Miscellaneous fabricated metal products manufacturing,2980,"3325, 3326, 3329 exc. 332992– 332994",
Not specified metal industries,2990,Part of 331 & 332,
,,,
Machinery manufacturing,3070–3290,333,
Agricultural implement manufacturing ,3070,33311,
"Construction, and mining and oil and gas field machinery manufacturing ",3080,"33312, 33313",
Commercial and service industry machinery manufacturing,3095,3333,
Metalworking machinery manufacturing,3170,3335,
"Engine, turbine, and power transmission equipment manufacturing ",3180,3336,
"Machinery manufacturing, n.e.c.",3190,"3332, 3334, 3339",
Not specified machinery manufacturing,3290,Part of 333,
Computers and electronic products manufacturing,3365–3390,334,
Computer and peripheral equipment manufacturing,3365,3341,
"Communications, and audio and video equipment manufacturing",3370,"3342, 3343",
"Navigational, measuring, electromedical, and control instruments manufacturing",3380,3345,
"Electronic component and product manufacturing, n.e.c. ",3390,"3344, 3346",
Electrical equipment and appliances manufacturing,3470–3490,335,
Household appliance manufacturing ,3470,3352,
"Electrical lighting and electrical equipment manufacturing, and other electrical component manufacturing, n.e.c.",3490,"3351, 3353, 3359",
Transportation equipment manufacturing,3570–3690,336,
Motor vehicles and motor vehicle equipment manufacturing,3570,"3361, 3362, 3363",
Aircraft and parts manufacturing,3580,336411–336413,
Aerospace product and parts manufacturing,3590,"336414, 336415, 336419",
Railroad rolling stock manufacturing,3670,3365,
Ship and boat building ,3680,3366,
Other transportation equipment manufacturing,3690,3369,
Wood products manufacturing,3770–3875,321,
Sawmills and wood preservation ,3770,3211,
"Veneer, plywood, and engineered wood products ",3780,3212,
Prefabricated wood buildings and mobile homes,3790,"321991, 321992",
Miscellaneous wood products,3875,"3219 exc. 321991, 321992",
Furniture and related product manufacturing ,3895,337,
Miscellaneous manufacturing,3960–3990,,
Medical equipment and supplies manufacturing,3960,3391,
"Sporting and athletic goods, and doll, toy and game manufacturing  ",3970,"33992, 33993",
"Miscellaneous manufacturing, n.e.c.",3980,"3399 exc. 33992, 33993",
