Case ID,Trade Name,Legal Name,Backwages,Minimum Wage Backwages,Penalty,EEs Paid in Violation,Minimum Wage Backwages per Employee,Backwages per Employee,Start Date,End Date,State,County,City,Full Address,NAICS2,NAICS3,Industry Subcategory,NAICS3 Industry
1772271,Bevill Vineyard Management LLC,Bevill Vineyard Management LLC,0,0,600,0,0,0,9/1/2015,9/24/2015,CA,Sonoma County,Healdsburg,4724 DRY CREEK ROAD Healdsburg CA 95448,11,111,Grape Vineyards,Crop Production
1771964,Yountville Equipment Company,Yountville Equipment Company,0,0,850,0,0,0,8/24/2015,9/16/2015,CA,Napa County,Napa,3316 SONOMA HIGHWAY Napa CA 94559,11,115,Farm Labor Contractors and Crew Leaders,Support Activities for Agriculture and Forestry
1771966,OAK KNOLL FARMING CORPORATION,Oak Knoll Farming Corporation,0,0,1450,0,0,0,8/24/2015,9/16/2015,CA,Napa County,Napa,3316 Sonoma Highway Napa CA 94559,11,115,Farm Labor Contractors and Crew Leaders,Support Activities for Agriculture and Forestry
1769341,Subway,Fresh Only LLC,15886.17,0,0,3,0,5295,8/31/2012,9/1/2015,CA,Alameda County,Fremont,1980 Driscoll Rd. Fremont CA 94538,72,722,Limited-Service Restaurants,Food Services and Drinking Places
1745915,Hotel Nikko of San Francisco,"Hotel Nikko of San Francisco, Inc.",22968.79,0,1320,3,0,7656,11/18/2012,8/1/2015,CA,San Francisco County,San Francisco,222 Mason Street San Francisco CA 94102,72,721,Hotels (except Casino Hotels) and Motels,Accommodation
1766659,Kwikee Mart,Lucky Kushi Enterprises,11165,0,0,4,0,2791,7/30/2012,7/29/2015,CA,Napa County,Napa,2984 Jefferson Street Napa CA 94558,44,445,Convenience Stores,Food and Beverage Stores 
1765883,"Rekha Murali MD, Inc.","Rekha Murali MD, Inc",3303.97,0,0,2,0,1652,7/23/2013,7/22/2015,CA,Contra Costa County,Pinole,"2160 Appian Way, Ste 105 Pinole CA 94564",62,621,Offices of Physicians (except Mental Health Specialists),Ambulatory Health Care Services
1765068,Fiorio Farms,Fiorio Farms Inc.,0,0,1600,0,0,0,6/23/2015,7/5/2015,CA,Santa Clara County,Gilroy,6330 thomas rd. Gilroy CA 95020,11,111,Other Vegetable (except Potato) and Melon Farming,Crop Production
1764636,Sangiacomo Vineyards,"V. Sangiacomo & Sons, Limited Partnership",0,0,3800,0,0,0,1/1/2015,6/24/2015,CA,Sonoma County,Sonoma,21543 Broadway Sonoma CA 95476,11,111,Grape Vineyards,Crop Production
1762178,Future Ag Management,"Future Ag Management, Inc.",0,0,3875,0,0,0,5/21/2015,6/2/2015,CA,Monterey County,Soledad,1040 State St. Soledad CA 93960,11,115,Farm Labor Contractors and Crew Leaders,Support Activities for Agriculture and Forestry
1763277,Heng Yuan Engineering Group Inc.,"Heng Yuan Engineering Group, Inc.",17119.9,3757.84,0,4,939,4280,1/1/2015,6/1/2015,CA,San Francisco County,San Francisco,150 Executive Park Blvd San Francisco CA 94134,23,236,Residential Building Construction,Construction of Buildings
1760283,Beth's Community Kitchen,Beth's Community Kitchen LLC,10639.31,9346.55,0,3,3116,3546,5/12/2013,5/11/2015,CA,Marin County,Mill Valley,34 Miller Avenue Mill Valley CA 94941,31,311,Retail Bakeries,Food Manufacturing
