County Name,State Id,WHD Office Name
York,PA,Wilkes Barre PA
Wyoming,PA,Wilkes Barre PA
Wayne,PA,Wilkes Barre PA
Union,PA,Wilkes Barre PA
Tioga,PA,Wilkes Barre PA
Susquehanna,PA,Wilkes Barre PA
Sullivan,PA,Wilkes Barre PA
Snyder,PA,Wilkes Barre PA
Schuylkill,PA,Wilkes Barre PA
Potter,PA,Wilkes Barre PA
Pike,PA,Wilkes Barre PA
Perry,PA,Wilkes Barre PA
Northumberland,PA,Wilkes Barre PA
Northampton,PA,Wilkes Barre PA
Montour,PA,Wilkes Barre PA
Monroe,PA,Wilkes Barre PA
Mifflin,PA,Wilkes Barre PA
Lycoming,PA,Wilkes Barre PA
Luzerne,PA,Wilkes Barre PA
Lehigh,PA,Wilkes Barre PA
Lebanon,PA,Wilkes Barre PA
Lancaster,PA,Wilkes Barre PA
Lackawanna,PA,Wilkes Barre PA
Juniata,PA,Wilkes Barre PA
Huntingdon,PA,Wilkes Barre PA
Fulton,PA,Wilkes Barre PA
Franklin,PA,Wilkes Barre PA
Dauphin,PA,Wilkes Barre PA
Cumberland,PA,Wilkes Barre PA
Columbia,PA,Wilkes Barre PA
Clinton,PA,Wilkes Barre PA
Centre,PA,Wilkes Barre PA
Carbon,PA,Wilkes Barre PA
Bradford,PA,Wilkes Barre PA
Blair,PA,Wilkes Barre PA
Berks,PA,Wilkes Barre PA
Bedford,PA,Wilkes Barre PA
Adams,PA,Wilkes Barre PA
San Bernardino,CA,West Covina
Riverside,CA,West Covina
Sumter,FL,Tampa FL
Sarasota,FL,Tampa FL
Polk,FL,Tampa FL
Pinellas,FL,Tampa FL
Pasco,FL,Tampa FL
Manatee,FL,Tampa FL
Lake,FL,Tampa FL
Hillsborough,FL,Tampa FL
Highlands,FL,Tampa FL
Hernando,FL,Tampa FL
Hardee,FL,Tampa FL
De Soto,FL,Tampa FL
Citrus,FL,Tampa FL
Wayne,MO,St. Louis MO
Washington,MO,St. Louis MO
Warren,MO,St. Louis MO
Texas,MO,St. Louis MO
Stoddard,MO,St. Louis MO
Ste Genevieve,MO,St. Louis MO
St Louis City,MO,St. Louis MO
St Louis,MO,St. Louis MO
St Francois,MO,St. Louis MO
St Clair,MO,St. Louis MO
St Charles,MO,St. Louis MO
Shelby,MO,St. Louis MO
Shannon,MO,St. Louis MO
Scott,MO,St. Louis MO
Scotland,MO,St. Louis MO
Ripley,MO,St. Louis MO
Reynolds,MO,St. Louis MO
Randolph,MO,St. Louis MO
Ralls,MO,St. Louis MO
Pulaski,MO,St. Louis MO
Pike,MO,St. Louis MO
Phelps,MO,St. Louis MO
Perry,MO,St. Louis MO
Pemiscot,MO,St. Louis MO
Osage,MO,St. Louis MO
Oregon,MO,St. Louis MO
New Madrid,MO,St. Louis MO
Morgan,MO,St. Louis MO
Montgomery,MO,St. Louis MO
Monroe,MO,St. Louis MO
Moniteau,MO,St. Louis MO
Mississippi,MO,St. Louis MO
Miller,MO,St. Louis MO
Marion,MO,St. Louis MO
Maries,MO,St. Louis MO
Madison,MO,St. Louis MO
Lincoln,MO,St. Louis MO
Lewis,MO,St. Louis MO
Knox,MO,St. Louis MO
Jefferson,MO,St. Louis MO
Iron,MO,St. Louis MO
Howell,MO,St. Louis MO
Howard,MO,St. Louis MO
Gasconade,MO,St. Louis MO
Franklin,MO,St. Louis MO
Dunklin,MO,St. Louis MO
Dent,MO,St. Louis MO
Crawford,MO,St. Louis MO
Cooper,MO,St. Louis MO
